获奖年份,获奖类别（英文）,获奖类别（中文）,奖项,全名,出生日期,出生城市,出生国家,所属组织,逝世日期,逝世地点城市,逝世地点国家
1910,Medicine,医药,1910 年诺贝尔生理学或医学奖,Albrecht Kossel,1853-09-16,罗斯托克,梅克伦堡,海德堡大学,1927-07-05,海德堡,德国
1910,Peace,和平,1910 年诺贝尔和平奖,Bureau international permanent de la Paix (Permanent International Peace Bureau),,,,,,,
1910,Physics,物理,1910 年诺贝尔物理学奖,Johannes Diderik van der Waals,1837-11-23,莱顿,荷兰,阿姆斯特丹大学,1923-03-08,阿姆斯特丹,荷兰
1911,Chemistry,化学,1911 年诺贝尔化学奖,"Marie Curie, née Sklodowska",1867-11-07,华沙,俄罗斯帝国（波兰）,索邦大学,1934-07-04,萨朗什,法国
1911,Literature,文学,1911 年诺贝尔文学奖,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,根特,比利时,,1949-05-06,尼斯,法国
1911,Medicine,医药,1911 年诺贝尔生理学或医学奖,Allvar Gullstrand,1862-06-05,兰茨克鲁纳,瑞典,乌普萨拉大学,1930-07-28,斯德哥尔摩,瑞典
1911,Peace,和平,1911 年诺贝尔和平奖,Tobias Michael Carel Asser,1838-04-28,阿姆斯特丹,荷兰,,1913-07-29,海牙,荷兰
1911,Peace,和平,1911 年诺贝尔和平奖,Alfred Hermann Fried,1864-11-11,维也纳,奥地利,,1921-05-05,维也纳,奥地利
1911,Physics,物理,1911 年诺贝尔物理学奖,Wilhelm Wien,1864-01-13,加夫肯（帕鲁斯诺耶）,普鲁士（俄罗斯）,维尔茨堡大学,1928-08-30,慕尼黑,德国
1912,Chemistry,化学,1912 年诺贝尔化学奖,Victor Grignard,1871-05-06,瑟堡,法国,南希大学,1935-12-13,里昂,法国
1912,Chemistry,化学,1912 年诺贝尔化学奖,Paul Sabatier,1854-11-05,卡尔卡送,法国,图卢兹大学,1941-08-14,图卢兹,法国
1912,Literature,文学,1912 年诺贝尔文学奖,Gerhart Johann Robert Hauptmann,1862-11-15,巴特萨尔茨布伦,普鲁士,,1946-06-06,阿涅滕多夫（雅格尼茨科夫）,德国（波兰）
1912,Medicine,医药,诺贝尔生理学或医学奖 1912 年,Alexis Carrel,1873-06-28,里昂圣佛伊莱斯,法国,洛克菲勒医学研究所,1944-11-05,巴黎,法国
1912,Peace,和平,1912 年诺贝尔和平奖,Elihu Root,1845-02-15,纽约州克林顿,美利坚合众国,,1937-02-07,纽约州纽约市,美利坚合众国
1912,Physics,物理,1912 年诺贝尔物理学奖,Nils Gustaf Dalén,1869-11-30,石头村,瑞典,瑞典气体蓄能器公司,1937-12-09,斯德哥尔摩,瑞典
1913,Chemistry,化学,1913 年诺贝尔化学奖,Alfred Werner,1866-12-12,穆尔豪斯,法国,苏黎世大学,1919-11-15,苏黎世,瑞士
1913,Literature,文学,1913 年诺贝尔文学奖,Rabindranath Tagore,1861-05-07,加尔各答,印度,,1941-08-07,加尔各答,印度
1913,Medicine,医药,1913 年诺贝尔生理学或医学奖,Charles Robert Richet,1850-08-26,巴黎,法国,索邦大学,1935-12-04,巴黎,法国
1913,Peace,和平,1913 年诺贝尔和平奖,Henri La Fontaine,1854-04-22,布鲁塞尔,比利时,,1943-05-14,布鲁塞尔,比利时
1913,Physics,物理,1913 年诺贝尔物理学奖,Heike Kamerlingh Onnes,1853-09-21,格罗宁根,荷兰,莱顿大学,1926-02-21,莱顿,荷兰
1914,Chemistry,化学,1914 年诺贝尔化学奖,Theodore William Richards,1868-01-31,宾夕法尼亚州日耳曼敦,美利坚合众国,哈佛大学,1928-04-02,马萨诸塞州剑桥市,美利坚合众国
1914,Medicine,医药,1914 年诺贝尔生理学或医学奖,Robert Bárány,1876-04-22,维也纳,奥地利,维也纳大学,1936-04-08,瑞典乌普萨拉,瑞典
1914,Physics,物理,1914 年诺贝尔物理学奖,Max von Laue,1879-10-09,普法芬多夫,德国,美因河畔法兰克福大学,1960-04-23,柏林,西德（德国）
1915,Chemistry,化学,1915 年诺贝尔化学奖,Richard Martin Willstätter,1872-08-13,卡尔斯鲁厄,德国,慕尼黑大学,1942-08-03,洛迦诺,瑞士
1915,Literature,文学,1915 年诺贝尔文学奖,Romain Rolland,1866-01-29,克拉姆西,法国,,1944-12-30,韦泽莱,法国
1915,Physics,物理,1915 年诺贝尔物理学奖,Sir William Henry Bragg,1862-07-02,威格顿,英国,大学学院,1942-03-12,伦敦,英国
1915,Physics,物理,1915 年诺贝尔物理学奖,William Lawrence Bragg,1890-03-31,阿德莱德,澳大利亚,维多利亚大学,1971-07-01,伊普斯维奇,英国
1916,Literature,文学,1916 年诺贝尔文学奖,Carl Gustaf Verner von Heidenstam,1859-07-06,奥尔沙马尔,瑞典,,1940-05-20,Övralid,瑞典
1917,Literature,文学,1917 年诺贝尔文学奖,Karl Adolph Gjellerup,1857-06-02,罗霍尔特,丹麦,,1919-10-11,Klotzsche,德国
1917,Literature,文学,1917 年诺贝尔文学奖,Henrik Pontoppidan,1857-07-24,腓特烈西亚,丹麦,,1943-08-21,奥德鲁普,丹麦
1917,Peace,和平,1917 年诺贝尔和平奖,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,,
1917,Physics,物理,1917 年诺贝尔物理学奖,Charles Glover Barkla,1877-06-07,威德恩,英国,爱丁堡大学,1944-10-23,爱丁堡,苏格兰
1918,Chemistry,化学,1918 年诺贝尔化学奖,Fritz Haber,1868-12-09,布雷斯劳（弗罗茨瓦夫）,普鲁士（波兰）,凯泽-威廉物理化学和电化学研究所（现为弗里茨-哈伯研究所,1934-01-29,巴塞尔,瑞士
1918,Physics,物理,1918 年诺贝尔物理学奖,Max Karl Ernst Ludwig Planck,1858-04-23,基尔,石勒苏益格（德国）,柏林大学,1947-10-04,哥廷根,西德（德国）
1919,Literature,文学,1919 年诺贝尔文学奖,Carl Friedrich Georg Spitteler,1845-04-24,利斯塔尔,瑞士,,1924-12-29,卢塞恩,瑞士
1919,Medicine,医药,1919 年诺贝尔生理学或医学奖,Jules Bordet,1870-06-13,索尼,比利时,布鲁塞尔大学,1961-04-06,布鲁塞尔,比利时
1919,Peace,和平,1919 年诺贝尔和平奖,Thomas Woodrow Wilson,1856-12-28,弗吉尼亚州斯汤顿,美利坚合众国,,1924-02-03,华盛顿特区,美利坚合众国
1919,Physics,物理,1919 年诺贝尔物理学奖,Johannes Stark,1874-04-15,希肯霍夫,德国,格赖夫斯瓦尔德大学,1957-06-21,特劳恩斯坦,西德（德国）
1920,Chemistry,化学,1920 年诺贝尔化学奖,Walther Hermann Nernst,1864-06-25,布里森,普鲁士,柏林大学,1941-11-18,穆斯考,德国
1920,Literature,文学,1920 年诺贝尔文学奖,Knut Pedersen Hamsun,1859-08-04,Lom,挪威,,1952-02-19,格里姆斯塔,挪威
1920,Medicine,医药,1920 年诺贝尔生理学或医学奖,Schack August Steenberg Krogh,1874-11-15,格勒诺瓦,丹麦,哥本哈根大学,1949-09-13,哥本哈根,丹麦
1920,Peace,和平,1920 年诺贝尔和平奖,Léon Victor Auguste Bourgeois,1851-05-21,巴黎,法国,,1925-09-29,埃佩尔奈,法国
1920,Physics,物理,1920 年诺贝尔物理学奖,Charles Edouard Guillaume,1861-02-15,Fleurier,瑞士,国际计量局（Bureau International des Poids et Mesures）,1938-06-13,塞夫勒,法国
1921,Chemistry,化学,1921 年诺贝尔化学奖,Frederick Soddy,1877-09-02,伊斯特本,英国,牛津大学,1956-09-22,布莱顿,英国
1921,Literature,文学,1921 年诺贝尔文学奖,Anatole France,1844-04-16,巴黎,法国,,1924-10-12,卢瓦尔河畔圣西尔,法国
1921,Peace,和平,1921 年诺贝尔和平奖,Karl Hjalmar Branting,1860-11-23,瑞典斯德哥尔摩,瑞典,,1925-02-24,斯德哥尔摩,瑞典
1921,Peace,和平,1921 年诺贝尔和平奖,Christian Lous Lange,1869-09-17,挪威斯塔万格,挪威,,1938-12-11,挪威奥斯陆,挪威
1921,Physics,物理,1921 年诺贝尔物理学奖,Albert Einstein,1879-03-14,乌尔姆,德国,德皇威廉物理研究所（现为马克斯-普朗克物理研究所,1955-04-18,新泽西州普林斯顿,美利坚合众国
1922,Chemistry,化学,1922 年诺贝尔化学奖,Francis William Aston,1877-09-01,哈伯恩,英国,剑桥大学,1945-11-20,剑桥,英国
1922,Literature,文学,1922 年诺贝尔文学奖,Jacinto Benavente,1866-08-12,马德里,西班牙,,1954-07-14,马德里,西班牙
1922,Medicine,医药,诺贝尔生理学或医学奖 1922 年,Archibald Vivian Hill,1886-09-26,布里斯托尔,英国,伦敦大学,1977-06-03,剑桥,英国
1922,Medicine,医药,诺贝尔生理学或医学奖 1922 年,Otto Fritz Meyerhof,1884-04-12,汉诺威,德国,基尔大学,1951-10-06,宾夕法尼亚州费城,美利坚合众国
1922,Peace,和平,1922 年诺贝尔和平奖,Fridtjof Nansen,1861-10-10,克里斯蒂安尼亚（奥斯陆）,挪威,,1930-05-13,挪威奥斯陆,挪威
1922,Physics,物理,1922 年诺贝尔物理学奖,Niels Henrik David Bohr,1885-10-07,哥本哈根,丹麦,哥本哈根大学,1962-11-18,哥本哈根,丹麦
1923,Chemistry,化学,1923 年诺贝尔化学奖,Fritz Pregl,1869-09-03,莱巴赫（卢布尔雅那）,奥匈帝国（斯洛文尼亚）,格拉茨大学,1930-12-13,格拉茨,奥地利
1923,Literature,文学,1923 年诺贝尔文学奖,William Butler Yeats,1865-06-13,都柏林,爱尔兰,,1939-01-28,罗克布伦-卡普-马丁,法国
1923,Medicine,医药,诺贝尔生理学或医学奖 1923 年,Frederick Grant Banting,1891-11-14,阿利斯顿,加拿大,多伦多大学,1941-02-21,纽芬兰,加拿大
1923,Medicine,医药,诺贝尔生理学或医学奖 1923 年,John James Rickard Macleod,1876-09-06,克吕尼,苏格兰,多伦多大学,1935-03-16,香港仔,苏格兰
1923,Physics,物理,1923 年诺贝尔物理学奖,Robert Andrews Millikan,1868-03-22,伊利诺伊州莫里森,美利坚合众国,加州理工学院（Caltech）,1953-12-19,加利福尼亚州圣马力诺,美利坚合众国
1924,Literature,文学,1924 年诺贝尔文学奖,Wladyslaw Stanislaw Reymont,1867-05-07,Kobiele Wielkie,俄罗斯帝国（波兰）,,1925-12-05,华沙,波兰
1924,Medicine,医药,诺贝尔生理学或医学奖 1924 年,Willem Einthoven,1860-05-21,三宝垄,爪哇，荷属东印度群岛（印度尼西亚）,莱顿大学,1927-09-29,莱顿,荷兰
1924,Physics,物理,1924 年诺贝尔物理学奖,Karl Manne Georg Siegbahn,1886-12-03,隆德,瑞典,乌普萨拉大学,1978-09-26,Ängelholm,瑞典
1925,Chemistry,化学,1925 年诺贝尔化学奖,Richard Adolf Zsigmondy,1865-04-01,维也纳,奥地利帝国,戈廷根大学,1929-09-24,哥廷根,德国
1925,Literature,文学,1925 年诺贝尔文学奖,George Bernard Shaw,1856-07-26,都柏林,爱尔兰,,1950-11-02,阿约特-圣劳伦斯,英国
1925,Peace,和平,1925 年诺贝尔和平奖,Sir Austen Chamberlain,1863-10-16,伯明翰,英国,,1937-03-16,伦敦,英国
1925,Peace,和平,1925 年诺贝尔和平奖,Charles Gates Dawes,1865-08-27,俄亥俄州玛丽埃塔,美利坚合众国,,1951-04-23,伊利诺伊州埃文斯顿,美利坚合众国
1925,Physics,物理,1925 年诺贝尔物理学奖,James Franck,1882-08-26,汉堡,德国,戈廷根大学,1964-05-21,哥廷根,西德（德国）
1925,Physics,物理,1925 年诺贝尔物理学奖,Gustav Ludwig Hertz,1887-07-22,汉堡,德国,哈雷大学,1975-10-30,柏林,东德
1926,Chemistry,化学,1926 年诺贝尔化学奖,The (Theodor) Svedberg,1884-08-30,草甸,瑞典,乌普萨拉大学,1971-02-25,厄勒布鲁,瑞典
1926,Literature,文学,1926 年诺贝尔文学奖,Grazia Deledda,1871-09-27,撒丁岛努奥罗,意大利,,1936-08-15,罗马,意大利
1926,Medicine,医药,诺贝尔生理学或医学奖 1926 年,Johannes Andreas Grib Fibiger,1867-04-23,锡尔克堡,丹麦,哥本哈根大学,1928-01-30,哥本哈根,丹麦
1926,Peace,和平,1926 年诺贝尔和平奖,Aristide Briand,1862-03-28,南特,法国,,1932-03-07,巴黎,法国
1926,Peace,和平,1926 年诺贝尔和平奖,Gustav Stresemann,1878-05-10,柏林,德国,,1929-10-03,柏林,德国
1926,Physics,物理,1926 年诺贝尔物理学奖,Jean Baptiste Perrin,1870-09-30,里尔,法国,索邦大学,1942-04-17,纽约州纽约市,美利坚合众国
1927,Chemistry,化学,1927 年诺贝尔化学奖,Heinrich Otto Wieland,1877-06-04,普福尔茨海姆,德国,慕尼黑大学,1957-08-05,慕尼黑,西德（德国）
1927,Literature,文学,1927 年诺贝尔文学奖,Henri Bergson,1859-10-18,巴黎,法国,,1941-01-04,巴黎,法国
1927,Medicine,医药,诺贝尔生理学或医学奖 1927 年,Julius Wagner-Jauregg,1857-03-07,韦尔斯,奥地利,维也纳大学,1940-09-27,维也纳,奥地利
1927,Peace,和平,1927 年诺贝尔和平奖,Ferdinand Buisson,1841-12-20,巴黎,法国,,1932-02-16,蒂乌洛瓦-圣安托万,法国
1927,Peace,和平,1927 年诺贝尔和平奖,Ludwig Quidde,1858-03-23,不来梅,德国,,1941-03-04,日内瓦,瑞士
1927,Physics,物理,1927 年诺贝尔物理学奖,Arthur Holly Compton,1892-09-10,俄亥俄州伍斯特,美利坚合众国,芝加哥大学,1962-03-15,加利福尼亚州伯克利,美利坚合众国
1927,Physics,物理,1927 年诺贝尔物理学奖,Charles Thomson Rees Wilson,1869-02-14,格伦科斯,苏格兰,剑桥大学,1959-11-15,Carlops,苏格兰
1928,Chemistry,化学,1928 年诺贝尔化学奖,Adolf Otto Reinhold Windaus,1876-12-25,柏林,德国,戈廷根大学,1959-06-09,哥廷根,西德（德国）
1928,Literature,文学,1928 年诺贝尔文学奖,Sigrid Undset,1882-05-20,卡伦堡,丹麦,,1949-06-10,利勒哈默尔,挪威
1928,Medicine,医药,1928 年诺贝尔生理学或医学奖,Charles Jules Henri Nicolle,1866-09-21,鲁昂,法国,巴斯德研究所,1936-02-28,突尼斯,突尼斯
1928,Physics,物理,1928 年诺贝尔物理学奖,Owen Willans Richardson,1879-04-26,达斯伯里,英国,伦敦大学,1959-02-15,奥尔顿,英国
1929,Chemistry,化学,1929 年诺贝尔化学奖,Arthur Harden,1865-10-12,曼彻斯特,英国,伦敦大学,1940-06-17,伯恩,英国
1929,Chemistry,化学,1929 年诺贝尔化学奖,Hans Karl August Simon von Euler-Chelpin,1873-02-15,奥格斯堡,德国,斯德哥尔摩大学,1964-11-06,斯德哥尔摩,瑞典
1929,Literature,文学,1929 年诺贝尔文学奖,Thomas Mann,1875-06-06,吕贝克,德国,,1955-08-12,苏黎世,瑞士
1929,Medicine,医药,1929 年诺贝尔生理学或医学奖,Christiaan Eijkman,1858-08-11,奈凯尔克,荷兰,乌特勒支大学,1930-11-05,乌特勒支,荷兰
1929,Medicine,医药,1929 年诺贝尔生理学或医学奖,Sir Frederick Gowland Hopkins,1861-06-20,伊斯特本,英国,剑桥大学,1947-05-16,剑桥,英国
1929,Peace,和平,1929 年诺贝尔和平奖,Frank Billings Kellogg,1856-12-22,纽约州波茨坦,美利坚合众国,,1937-12-21,明尼苏达州圣保罗,美利坚合众国
1929,Physics,物理,1929 年诺贝尔物理学奖,Prince Louis-Victor Pierre Raymond de Broglie,1892-08-15,迪耶普,法国,索邦大学，亨利-庞加莱学院,1987-03-19,巴黎,法国
1930,Chemistry,化学,1930 年诺贝尔化学奖,Hans Fischer,1881-07-27,Hoechst,德国,技术大学（技术学院）,1945-03-31,慕尼黑,德国
1930,Literature,文学,1930 年诺贝尔文学奖,Sinclair Lewis,1885-02-07,明尼苏达州绍克中心,美利坚合众国,,1951-01-10,罗马,意大利
1930,Medicine,医药,1930 年诺贝尔生理学或医学奖,Karl Landsteiner,1868-06-14,维也纳,奥地利帝国,洛克菲勒医学研究所,1943-06-26,纽约州纽约市,美利坚合众国
1930,Peace,和平,1930 年诺贝尔和平奖,Lars Olof Jonathan (Nathan) Söderblom,1866-01-15,特罗诺,瑞典,,1931-07-12,瑞典乌普萨拉,瑞典
1930,Physics,物理,1930 年诺贝尔物理学奖,Sir Chandrasekhara Venkata Raman,1888-11-07,蒂鲁奇拉帕利,印度,加尔各答大学,1970-11-21,班加罗尔,印度
1931,Chemistry,化学,1931 年诺贝尔化学奖,Carl Bosch,1874-08-27,科隆,德国,海德堡大学,1940-04-26,海德堡,德国
1931,Chemistry,化学,1931 年诺贝尔化学奖,Friedrich Bergius,1884-10-11,弗罗茨瓦夫附近的戈德史密斯,德国（波兰）,海德堡大学,1949-03-30,布宜诺斯艾利斯,阿根廷
1931,Literature,文学,1931 年诺贝尔文学奖,Erik Axel Karlfeldt,1864-07-20,卡尔波,瑞典,,1931-04-08,斯德哥尔摩,瑞典
1931,Medicine,医药,1931 年诺贝尔生理学或医学奖,Otto Heinrich Warburg,1883-10-08,弗莱堡,德国,德皇威廉生物研究所（现为马克斯-普朗克研究所,1970-08-01,西柏林,西德（德国）
1931,Peace,和平,1931 年诺贝尔和平奖,Jane Addams,1860-09-06,伊利诺伊州塞达维尔,美利坚合众国,,1935-05-21,伊利诺伊州芝加哥,美利坚合众国
1931,Peace,和平,1931 年诺贝尔和平奖,Nicholas Murray Butler,1862-04-02,新泽西州伊丽莎白,美利坚合众国,哥伦比亚大学,1947-12-07,纽约州纽约市,美利坚合众国
1932,Chemistry,化学,1932 年诺贝尔化学奖,Irving Langmuir,1881-01-31,纽约布鲁克林,美利坚合众国,通用电气公司,1957-08-16,马萨诸塞州法尔茅斯,美利坚合众国
1932,Literature,文学,1932 年诺贝尔文学奖,John Galsworthy,1867-08-14,金斯顿山,英国,,1933-01-31,伦敦,英国
1932,Medicine,医药,1932 年诺贝尔生理学或医学奖,Sir Charles Scott Sherrington,1857-11-27,伦敦,英国,牛津大学,1952-03-04,伊斯特本,英国
